DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1;Crm Cd 2;Crm Cd 3;Crm Cd 4;LOCATION;Cross Street;LAT;LON
211507896;04/11/2021 0:00;11/07/2020 0:00;845;15;N Hollywood;1502;2;354;THEFT OF IDENTITY;377;31;M;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;7800    BEEMAN                       AV;;342.124;-1.184.092
201516622;10/21/2020 12:00:00 AM;10/18/2020 12:00:00 AM;1845;15;N Hollywood;1521;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0416 0334 2004 1822 1414 0305 0319 0400;32;M;H;102;SIDEWALK;200;KNIFE WITH BLADE 6INCHES OR LESS;IC;Invest Cont;230;;;;ATOLL                        AV;N  GAULT;341.993;-1.184.203
240913563;12/10/2024 0:00;10/30/2020 12:00:00 AM;1240;9;Van Nuys;933;2;354;THEFT OF IDENTITY;377;30;M;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;14600    SYLVAN                       ST;;341.847;-1.184.509
210704711;12/24/2020 12:00:00 AM;12/24/2020 12:00:00 AM;1310;7;Wilshire;782;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER);344;47;F;A;101;STREET;;;IC;Invest Cont;331;;;;6000    COMEY                        AV;;340.339;-1.183.747
201418201;10/03/2020 0:00;09/29/2020 12:00:00 AM;1830;14;Pacific;1454;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);1300 0344 1606 2032;63;M;H;103;ALLEY;;;IC;Invest Cont;420;;;;4700    LA VILLA MARINA;;339.813;-118.435
240412063;12/11/2024 0:00;11/11/2020 0:00;1210;4;Hollenbeck;429;2;354;THEFT OF IDENTITY;100;35;M;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;5300    CRONUS                       ST;;34.083;-1.181.678
240317069;12/16/2024 12:00:00 AM;04/16/2020 12:00:00 AM;1350;3;Southwest;396;2;354;THEFT OF IDENTITY;0100 0928 1822;21;F;B;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;900 W  40TH                         PL;;34.01;-118.29
201115217;10/29/2020 12:00:00 AM;07/07/2020 0:00;1400;11;Northeast;1133;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);1259 0448 0304 1822 0500 0522;14;F;H;121;YARD (RESIDENTIAL/BUSINESS);500;UNKNOWN WEAPON/OTHER WEAPON;AO;Adult Other;812;860;;;3000    ACRESITE                     ST;;341.107;-1.182.589
241708596;04/20/2024 12:00:00 AM;03/02/2020 0:00;1200;17;Devonshire;1729;2;354;THEFT OF IDENTITY;1501;43;M;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;17700    SIMONDS                      ST;;342.763;-118.521
242113813;12/18/2024 12:00:00 AM;09/01/2020 0:00;900;21;Topanga;2196;2;354;THEFT OF IDENTITY;930;57;M;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;20900    MARMORA                      ST;;341.493;-1.185.886
240605846;02/06/2024 0:00;06/20/2020 12:00:00 AM;1;6;Hollywood;657;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);0500 1251 0913 0522 0551 1259 0558;13;M;H;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;812;860;;;1000 N  RIDGEWOOD                    PL;;340.878;-1.183.146
242014110;12/18/2024 12:00:00 AM;11/17/2020 12:00:00 AM;1320;20;Olympic;2023;2;354;THEFT OF IDENTITY;0100 0928 1822;34;F;A;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;400 S  ARDMORE                      AV;;340.672;-1.183.016
202113531;09/06/2020 0:00;09/05/2020 0:00;1500;21;Topanga;2149;1;510;VEHICLE - STOLEN;;0;;;108;PARKING LOT;;;AA;Adult Arrest;510;;;;19700    VANOWEN                      ST;;341.938;-1.185.631
201710725;07/03/2020 0:00;07/02/2020 0:00;500;17;Devonshire;1762;1;310;BURGLARY;344;0;X;X;203;OTHER BUSINESS;;;IC;Invest Cont;310;;;;9500    COZYCROFT                    AV;;342.427;-118.582
201406733;02/16/2020 12:00:00 AM;02/13/2020 12:00:00 AM;2300;14;Pacific;1406;1;330;BURGLARY FROM VEHICLE;0344 1300;32;M;W;707;GARAGE/CARPORT;;;IC;Invest Cont;330;;;;3300    MOTOR                        AV;;34.024;-118.409
201405970;02/01/2020 0:00;02/01/2020 0:00;1658;14;Pacific;1494;1;440;THEFT PLAIN - PETTY ($950 & UNDER);1822 0344;39;M;O;212;TRANSPORTATION FACILITY (AIRPORT);;;AO;Adult Other;440;;;;300    WORLD                        WY;;33.944;-1.184.073
201820230;11/08/2020 0:00;11/08/2020 0:00;730;18;Southeast;1844;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;2000 1300 0416 1814 0446 1310 0400;26;F;B;101;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;626;;;;108TH                        ST;AVALON                       AV;339.383;-1.182.652
201707577;03/20/2020 12:00:00 AM;03/20/2020 12:00:00 AM;1320;17;Devonshire;1752;2;624;BATTERY - SIMPLE ASSAULT;0202 1300 1822 0356;21;F;W;210;RESTAURANT/FAST FOOD;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;624;;;;20900    DEVONSHIRE                   ST;;342.572;-1.185.885
201514848;09/04/2020 0:00;08/17/2020 12:00:00 AM;400;15;N Hollywood;1549;1;310;BURGLARY;1605 0344 1420;0;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;AA;Adult Arrest;310;;;;11100    CUMPSTON                     ST;;34.17;-1.183.722
201405023;01/19/2020 12:00:00 AM;01/19/2020 12:00:00 AM;1850;14;Pacific;1435;1;310;BURGLARY;1609 0344;37;M;A;501;SINGLE FAMILY DWELLING;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;310;;;;3500    PURDUE                       AV;;340.158;-1.184.258
211306997;03/09/2021 0:00;11/01/2020 0:00;1800;13;Newton;1313;1;440;THEFT PLAIN - PETTY ($950 & UNDER);0344 1300 1309;37;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;440;;;;700 E  18TH                         ST;;340.283;-1.182.562
201405778;01/27/2020 12:00:00 AM;01/20/2020 12:00:00 AM;1540;14;Pacific;1494;1;440;THEFT PLAIN - PETTY ($950 & UNDER);1822 0344;34;M;W;212;TRANSPORTATION FACILITY (AIRPORT);;;IC;Invest Cont;440;;;;600    WORLD                        WY;;33.943;-1.184.035
202005291;01/29/2020 12:00:00 AM;01/29/2020 12:00:00 AM;545;20;Olympic;2038;1;440;THEFT PLAIN - PETTY ($950 & UNDER);1822 2032 0344;0;X;X;203;OTHER BUSINESS;;;IC;Invest Cont;440;;;;3100    WILSHIRE                     BL;;340.618;-1.182.891
201715737;11/25/2020 12:00:00 AM;11/25/2020 12:00:00 AM;1200;17;Devonshire;1777;1;310;BURGLARY;0344 1202 0352;69;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;310;;;;9700    VALJEAN                      AV;;342.467;-1.184.872
201608553;04/28/2020 12:00:00 AM;04/28/2020 12:00:00 AM;1730;16;Foothill;1622;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0421 1822;14;M;H;109;PARK/PLAYGROUND;114;AIR PISTOL/REVOLVER/RIFLE/BB GUN;AA;Adult Arrest;230;;;;10900    HADDON                       AV;;342.685;-1.184.364
202006163;02/14/2020 12:00:00 AM;02/11/2020 0:00;1600;20;Olympic;2033;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER);0329 1307 1822;24;M;H;122;VEHICLE, PASSENGER/TRUCK;;;IC;Invest Cont;745;;;;3700    WILSHIRE                     BL;;340.617;-1.183.066
202009677;05/13/2020 12:00:00 AM;05/13/2020 12:00:00 AM;900;20;Olympic;2042;1;520;VEHICLE - ATTEMPT STOLEN;1822 1607 0358;36;M;H;101;STREET;;;IC;Invest Cont;520;;;;900 S  WILTON                       PL;;340.559;-1.183.142
201915689;10/15/2020 12:00:00 AM;10/15/2020 12:00:00 AM;305;19;Mission;1918;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);329;35;F;H;108;PARKING LOT;;;IC;Invest Cont;740;;;;13600    FOOTHILL                     BL;;343.069;-1.184.297
201918078;12/15/2020 12:00:00 AM;12/15/2020 12:00:00 AM;1111;19;Mission;1983;1;210;ROBBERY;0344 0334 0312 1822 1402;19;M;H;108;PARKING LOT;114;AIR PISTOL/REVOLVER/RIFLE/BB GUN;IC;Invest Cont;210;;;;8300 N  SEPULVEDA                    BL;;342.214;-1.184.677
202013248;08/09/2020 0:00;08/09/2020 0:00;2250;20;Olympic;2069;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;0329 0416 0913 1814 2000 2002;43;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;626;;;;1200 S  WESTMORELAND                 AV;;340.495;-1.182.891
202011749;07/04/2020 0:00;06/26/2020 12:00:00 AM;700;20;Olympic;2021;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);1822 0329;48;M;O;122;VEHICLE, PASSENGER/TRUCK;;;IC;Invest Cont;740;;;;4100 W  6TH                          ST;;340.633;-1.183.141
201811813;05/28/2020 12:00:00 AM;05/25/2020 12:00:00 AM;200;18;Southeast;1851;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;MENLO                        AV;130TH                        ST;339.144;-1.182.894
201809657;04/15/2020 12:00:00 AM;04/15/2020 12:00:00 AM;1550;18;Southeast;1871;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;2000 0913 0416 1814 1243;49;F;B;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;626;;;;800 W  ROSECRANS                    AV;;339.019;-1.182.893
201409975;04/22/2020 12:00:00 AM;04/21/2020 12:00:00 AM;1930;14;Pacific;1446;1;330;BURGLARY FROM VEHICLE;0344 1300;43;M;H;101;STREET;;;IC;Invest Cont;330;;;;VENICE                       BL;INGLEWOOD                    BL;340.056;-1.184.301
201819653;10/28/2020 12:00:00 AM;10/28/2020 12:00:00 AM;1000;18;Southeast;1831;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);1822 0329 1307 1100 1407;22;F;B;122;VEHICLE, PASSENGER/TRUCK;;;IC;Invest Cont;740;998;;;600 W  ATHENS                       BL;;339.213;-1.182.847
201911106;06/18/2020 12:00:00 AM;04/26/2020 12:00:00 AM;1908;19;Mission;1995;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0450 1822 0395 0906;19;M;H;101;STREET;102;HAND GUN;IC;Invest Cont;230;;;;14600    BLYTHE                       ST;;342.152;-118.451
201819475;10/24/2020 12:00:00 AM;10/24/2020 12:00:00 AM;2250;18;Southeast;1871;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0302 0913 0603 0361;39;M;H;101;STREET;106;UNKNOWN FIREARM;AO;Adult Other;230;;;;800 W  148TH                        ST;;338.983;-1.182.896
202106474;02/24/2020 12:00:00 AM;02/24/2020 12:00:00 AM;1835;21;Topanga;2187;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0416 1822;58;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;230;;;;21700    VENTURA                      BL;;341.683;-1.186.007
202115676;11/05/2020 0:00;11/03/2020 0:00;330;21;Topanga;2158;1;310;BURGLARY;0344 1606 0209;46;M;X;203;OTHER BUSINESS;;;IC;Invest Cont;310;;;;6300    CANOGA                       AV;;341.849;-1.185.974
201416348;08/30/2020 12:00:00 AM;08/28/2020 12:00:00 AM;1200;14;Pacific;1453;1;510;VEHICLE - STOLEN;;0;;;108;PARKING LOT;;;IC;Invest Cont;510;;;;4000    GLENCOE                      AV;;339.918;-1.184.446
201420586;11/20/2020 12:00:00 AM;11/18/2020 12:00:00 AM;630;14;Pacific;1403;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);1606 0344 1300;33;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;420;;;;11200    SARDIS                       AV;;340.296;-1.184.306
201504263;01/05/2020 0:00;01/05/2020 0:00;1300;15;N Hollywood;1527;1;330;BURGLARY FROM VEHICLE;0344 0321;23;M;H;108;PARKING LOT;;;IC;Invest Cont;330;;;;11000    VICTORY                      BL;;341.867;-1.183.703
202013922;08/27/2020 12:00:00 AM;08/27/2020 12:00:00 AM;830;20;Olympic;2031;1;440;THEFT PLAIN - PETTY ($950 & UNDER);1822 0344 2032;21;M;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;440;;;;700 S  MANHATTAN                    PL;;340.581;-1.183.102
201615829;12/19/2020 12:00:00 AM;12/16/2020 12:00:00 AM;1500;16;Foothill;1684;1;210;ROBBERY;0444 0344;0;M;W;101;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;210;;;;7900    LAUREL CANYON                BL;;342.139;-1.183.965
201908231;03/30/2020 12:00:00 AM;03/30/2020 12:00:00 AM;2000;19;Mission;1998;2;906;FIREARMS RESTRAINING ORDER (FIREARMS RO);3011 3037 3034 3028 3102 4026;28;F;W;108;PARKING LOT;;;IC;Invest Cont;906;;;;7800    NOLLAN                       PL;;342.128;-118.445
220614831;08/18/2022 12:00:00 AM;08/17/2020 12:00:00 AM;1200;6;Hollywood;666;2;354;THEFT OF IDENTITY;1822 1501 0930 2004;28;M;H;102;SIDEWALK;;;IC;Invest Cont;354;;;;1900    TRANSIENT;;340.944;-1.183.277
201420127;11/10/2020 0:00;11/08/2020 0:00;1300;14;Pacific;1487;1;480;BIKE - STOLEN;344;34;F;O;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;480;;;;8800 S  SEPULVEDA                    BL;;339.568;-1.183.962
201810632;05/04/2020 0:00;05/04/2020 0:00;1530;18;Southeast;1804;2;624;BATTERY - SIMPLE ASSAULT;0444 1300 1822 1218;18;F;W;102;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;624;;;;MANCHESTER                   AV;AVALON                       BL;339.602;-1.182.651
202115664;11/05/2020 0:00;09/03/2020 0:00;1400;21;Topanga;2139;2;668;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER);1501;30;M;X;203;OTHER BUSINESS;;;AO;Adult Other;668;;;;19700    SHERMAN                      WY;;342.011;-1.185.713
202013106;08/06/2020 0:00;08/06/2020 0:00;530;20;Olympic;2011;1;440;THEFT PLAIN - PETTY ($950 & UNDER);0344 1822;51;F;W;501;SINGLE FAMILY DWELLING;;;AO;Adult Other;440;;;;100 S  WILTON                       PL;;340.728;-1.183.135
201908682;04/12/2020 0:00;04/12/2020 0:00;2221;19;Mission;1961;2;627;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT;416;11;M;H;503;HOTEL;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;627;;;;9400    SEPULVEDA                    BL;;342.427;-1.184.702
201419812;11/06/2020 0:00;11/06/2020 0:00;1910;14;Pacific;1435;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);0329 1300 2004;48;M;H;108;PARKING LOT;;;IC;Invest Cont;740;;;;12100    VENICE                       BL;;340.039;-1.184.334
210404224;01/04/2021 0:00;12/27/2020 12:00:00 AM;1130;4;Hollenbeck;438;1;310;BURGLARY;344;61;F;H;504;OTHER RESIDENCE;;;IC;Invest Cont;310;;;;2900    WARWICK                      AV;;340.785;-1.181.661
202105280;01/29/2020 12:00:00 AM;01/28/2020 12:00:00 AM;1800;21;Topanga;2189;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);;0;;;101;STREET;;;IC;Invest Cont;420;;;;20500    VENTURA                      BL;;341.683;-1.185.787
201904694;01/16/2020 12:00:00 AM;01/15/2020 12:00:00 AM;2130;19;Mission;1901;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;FOOTHILL;BALBOA;343.193;-1.184.871
210205056;01/12/2021 0:00;10/14/2020 12:00:00 AM;1200;2;Rampart;237;2;354;THEFT OF IDENTITY;0930 0100;37;M;W;733;BAR/SPORTS BAR (OPEN DAY & NIGHT);;;IC;Invest Cont;354;;;;300    WELCOME                      ST;;340.656;-1.182.621
202011797;07/06/2020 0:00;07/04/2020 0:00;2030;20;Olympic;2002;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);1822 0329 0209;0;X;X;301;GAS STATION;;;IC;Invest Cont;740;;;;4600    BEVERLY                      BL;;340.799;-1.183.113
201407385;02/03/2020 0:00;02/02/2020 0:00;2000;14;Pacific;1449;1;330;BURGLARY FROM VEHICLE;1606 0344;31;F;W;123;PARKING UNDERGROUND/BUILDING;;;IC;Invest Cont;330;;;;3800    MCLAUGHLIN                   AV;;340.086;-1.184.246
211104687;01/21/2021 12:00:00 AM;01/21/2020 12:00:00 AM;300;11;Northeast;1151;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER);329;0;X;X;708;CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE);;;IC;Invest Cont;745;;;;4800 W  SUNSET                       BL;;340.982;-1.182.943
201513536;08/05/2020 0:00;08/04/2020 0:00;730;15;N Hollywood;1557;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;4900    CARTWRIGHT                   AV;;341.595;-1.183.637
201313153;06/30/2020 12:00:00 AM;06/30/2020 12:00:00 AM;930;13;Newton;1395;1;210;ROBBERY;0444 0344 1822;0;X;X;248;CELL PHONE STORE;500;UNKNOWN WEAPON/OTHER WEAPON;AA;Adult Arrest;210;;;;400 E  FLORENCE                     AV;;339.784;-118.263
201713754;09/29/2020 12:00:00 AM;08/01/2020 0:00;1200;17;Devonshire;1767;2;354;THEFT OF IDENTITY;1822 0928;74;M;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;9600    ONEAL                        CT;;34.245;-1.185.289
201513294;07/29/2020 12:00:00 AM;07/29/2020 12:00:00 AM;2010;15;N Hollywood;1591;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED;0443 2004;57;M;H;727;SHOPPING MALL (COMMON AREA);511;VERBAL THREAT;IC;Invest Cont;930;;;;12200 W  VENTURA                      BL;;341.432;-1.183.986
201817027;09/10/2020 0:00;09/10/2020 0:00;2145;18;Southeast;1827;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0447 1822 1218;53;F;H;103;ALLEY;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;230;;;;95TH                         ST;ANZAC;339.506;-1.182.375
201610419;06/25/2020 12:00:00 AM;06/25/2020 12:00:00 AM;2000;16;Foothill;1642;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);0344 1300;36;F;H;101;STREET;;;IC;Invest Cont;420;;;;13000    GLAMIS                       ST;;342.555;-1.184.185
201910095;05/21/2020 12:00:00 AM;03/17/2020 12:00:00 AM;317;19;Mission;1902;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);0344 1606;31;M;H;108;PARKING LOT;;;IC;Invest Cont;420;;;;15100    ROXFORD                      ST;;343.198;-1.184.622
201316902;09/13/2020 12:00:00 AM;09/13/2020 12:00:00 AM;300;13;Newton;1361;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;300 W  47TH                         ST;;340.011;-1.182.789
201416213;07/25/2020 12:00:00 AM;07/25/2020 12:00:00 AM;1640;14;Pacific;1427;2;624;BATTERY - SIMPLE ASSAULT;0416 0561 0421;68;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;624;;;;3300 S  SEPULVEDA                    BL;;340.226;-1.184.248
201817878;09/27/2020 12:00:00 AM;09/19/2020 12:00:00 AM;1930;18;Southeast;1863;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;1822 0344;50;F;H;119;PORCH, RESIDENTIAL;;;IC;Invest Cont;341;;;;11600    AVALON                       BL;;339.283;-1.182.652
202104312;01/07/2020 0:00;01/05/2020 0:00;1330;21;Topanga;2172;1;440;THEFT PLAIN - PETTY ($950 & UNDER);344;39;M;W;203;OTHER BUSINESS;;;IC;Invest Cont;440;;;;23200    VENTURA                      BL;;341.626;-1.186.309
202013579;08/18/2020 12:00:00 AM;08/13/2020 12:00:00 AM;100;20;Olympic;2014;2;860;BATTERY WITH SEXUAL CONTACT;0913 1810 0522 0545;49;M;O;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;860;;;;4000 W  2ND                          ST;;340.712;-1.183.016
201404274;01/05/2020 0:00;01/04/2020 0:00;2219;14;Pacific;1476;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD;1501;62;F;O;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;956;;;;6400 W  84TH                         ST;;339.629;-1.183.993
201812009;06/02/2020 0:00;06/02/2020 0:00;400;18;Southeast;1803;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;8700 S  SAN PEDRO                    ST;;339.591;-1.182.695
201817357;09/12/2020 0:00;09/12/2020 0:00;30;18;Southeast;1871;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED;0421 1822;21;F;B;101;STREET;511;VERBAL THREAT;IC;Invest Cont;930;;;;ROSECRANS;VERMONT;339.019;-1.182.916
231808869;04/04/2023 0:00;12/01/2020 0:00;2300;18;Southeast;1826;2;354;THEFT OF IDENTITY;1822 0100 0930 0929;41;M;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;9900    COMPTON                      AV;;339.467;-1.182.463
201516878;10/27/2020 12:00:00 AM;10/27/2020 12:00:00 AM;400;15;N Hollywood;1543;1;210;ROBBERY;0344 1218 0432 1822 0345 0355 1012;28;M;H;101;STREET;511;VERBAL THREAT;IC;Invest Cont;210;;;;CHANDLER;HERMITAGE;341.687;-1.184.003
201412163;06/11/2020 0:00;06/11/2020 0:00;350;14;Pacific;1472;1;330;BURGLARY FROM VEHICLE;344;47;M;W;101;STREET;;;IC;Invest Cont;330;;;;200    REES                         ST;;339.569;-1.184.473
202113353;08/31/2020 12:00:00 AM;08/31/2020 12:00:00 AM;1700;21;Topanga;2111;2;900;VIOLATION OF COURT ORDER;2038;37;F;W;501;SINGLE FAMILY DWELLING;;;AA;Adult Arrest;900;;;;23000    SATICOY                      ST;;34.213;-1.186.458
201917640;12/02/2020 0:00;12/02/2020 0:00;1140;19;Mission;1913;2;624;BATTERY - SIMPLE ASSAULT;0416 0448 0409 1822;37;F;H;101;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;624;;;;14900    POLK                         ST;;343.089;-1.184.613
201914494;09/14/2020 12:00:00 AM;09/14/2020 12:00:00 AM;700;19;Mission;1907;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;1822 0421 0416 1202 1218;68;M;B;155;DAM/RESERVOIR;114;AIR PISTOL/REVOLVER/RIFLE/BB GUN;IC;Invest Cont;230;;;;GLADSTONE;NEWTON;34.299;-1.184.153
201904416;01/08/2020 0:00;01/08/2020 0:00;2100;19;Mission;1991;2;624;BATTERY - SIMPLE ASSAULT;2004 0416;27;M;H;210;RESTAURANT/FAST FOOD;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;624;;;;8200 N  SEPULVEDA                    BL;;342.184;-1.184.698
201419844;11/06/2020 0:00;11/06/2020 0:00;1745;14;Pacific;1431;2;624;BATTERY - SIMPLE ASSAULT;1822 0400 0416 0417;17;M;B;116;OTHER/OUTSIDE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;624;;;;OCEAN FRONT WALK;MARKET                       ST;339.874;-1.184.741
202108355;04/17/2020 12:00:00 AM;04/16/2020 12:00:00 AM;1600;21;Topanga;2183;1;510;VEHICLE - STOLEN;;0;;;104;DRIVEWAY;;;IC;Invest Cont;510;;;;22600    QUINTA                       RD;;341.531;-1.186.194
201517126;11/02/2020 0:00;10/30/2020 12:00:00 AM;1230;15;N Hollywood;1557;1;310;BURGLARY;0344 1601 1607;47;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;310;;;;4900    VINELAND                     AV;;34.159;-1.183.703
201809081;04/02/2020 0:00;04/02/2020 0:00;1630;18;Southeast;1842;2;624;BATTERY - SIMPLE ASSAULT;1822 0416 0446 0603 0360;60;M;H;104;DRIVEWAY;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;624;;;;100 W  IMPERIAL                     HY;;339.347;-1.182.761
201321853;12/29/2020 12:00:00 AM;12/27/2020 12:00:00 AM;1800;13;Newton;1354;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;4200    WOODLAWN                     AV;;340.066;-1.182.728
201805731;02/01/2020 0:00;02/01/2020 0:00;1330;18;Southeast;1822;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;1814 2000 0416 0913;31;M;H;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;626;;;;10100 S  BROADWAY;;339.447;-1.182.784
202018701;12/22/2020 12:00:00 AM;12/22/2020 12:00:00 AM;150;20;Olympic;2069;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;0913 2000 0416 1206;52;M;O;108;PARKING LOT;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;626;;;;2300 W  PICO                         BL;;340.499;-1.182.879
202017008;11/10/2020 0:00;11/07/2020 0:00;1700;20;Olympic;2029;1;310;BURGLARY;1402 1822 0344 0358 0329;0;X;X;724;TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*;;;IC;Invest Cont;310;998;;;2900    WILSHIRE                     BL;;340.652;-1.182.878
201508263;03/30/2020 12:00:00 AM;03/30/2020 12:00:00 AM;1630;15;N Hollywood;1515;2;624;BATTERY - SIMPLE ASSAULT;0400 0416 0444;46;F;H;104;DRIVEWAY;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;624;;;;6900    SIMPSON                      AV;;341.958;-1.183.889
201311118;05/20/2020 12:00:00 AM;05/19/2020 12:00:00 AM;1830;13;Newton;1393;1;330;BURGLARY FROM VEHICLE;0344 0329;29;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;330;;;;100 W  71ST                         ST;;339.756;-1.182.739
